"GEOID","totalE","ownerE","renterE"
"34005700303",1649,1102,547
"34005700304",833,785,48
"34005700305",1754,1571,183
"34005700306",914,908,6
"34005700307",963,957,6
"34005700401",754,650,104
"34005700402",1368,1167,201
"34005700403",1552,1126,426
"34005700405",637,527,110
"34005700407",2719,321,2398
"34005700408",1650,187,1463
"34005700501",2181,1760,421
"34005700502",899,798,101
"34005700503",1251,1088,163
"34005700504",1159,988,171
"34005700505",2184,1952,232
"34005700602",2350,2041,309
"34005700603",2588,1384,1204
"34005700605",1884,1475,409
"34005700701",1199,718,481
"34005700702",815,424,391
"34005700703",963,457,506
"34005700800",2128,1548,580
"34005700900",833,650,183
"34005701001",2048,1271,777
"34005701002",1336,1143,193
"34005701102",2406,1623,783
"34005701103",2415,2149,266
"34005701104",1695,1223,472
"34005701105",2215,1706,509
"34005701201",1015,910,105
"34005701203",753,503,250
"34005701204",1190,486,704
"34005701205",809,520,289
"34005701301",1758,1107,651
"34005701302",1224,1104,120
"34005701303",1918,1799,119
"34005701401",2284,2152,132
"34005701402",1307,1255,52
"34005701502",1572,1110,462
"34005701700",1849,959,890
"34005702101",1280,27,1253
"34005702203",1480,863,617
"34005702204",747,470,277
"34005702206",625,420,205
"34005702207",1321,1054,267
"34005702208",2374,2247,127
"34005702209",1137,984,153
"34005702210",1617,1228,389
"34005702300",539,364,175
"34005702400",1210,1159,51
"34005702500",2675,1723,952
"34005702601",1579,1307,272
"34005702603",778,310,468
"34005702701",1075,809,266
"34005702702",2224,2157,67
"34005702801",749,607,142
"34005702802",947,886,61
"34005702803",1351,1230,121
"34005702804",1013,875,138
"34005702805",1182,986,196
"34005702806",1048,883,165
"34005702807",1141,725,416
"34005702808",1011,771,240
"34005702809",958,559,399
"34005702810",503,397,106
"34005702811",788,724,64
"34005702905",1927,1330,597
"34005702906",574,534,40
"34005702907",1187,1142,45
"34005702908",2063,1897,166
"34005702909",2595,2016,579
"34005702910",2252,1847,405
"34005702913",2566,1497,1069
"34005702914",1784,1438,346
"34005702915",1871,1231,640
"34005702917",1079,810,269
"34005702918",1006,707,299
"34005703000",2459,2256,203
"34005703102",953,853,100
"34005703103",1983,1097,886
"34005703104",1876,1676,200
"34005703201",1232,1131,101
"34005703202",1017,964,53
"34005703203",2183,2129,54
"34005703600",2652,2559,93
"34005703700",2231,2149,82
"34005703801",2697,2352,345
"34005703802",2306,1612,694
"34005703803",1704,1597,107
"34005703804",2360,2310,50
"34005703900",1467,1378,89
"34005704004",1988,690,1298
"34005704005",1527,1114,413
"34005704006",1036,751,285
"34005704007",1499,765,734
"34005704008",2142,1604,538
"34005704009",1981,1093,888
"34005704011",1071,1032,39
"34005704012",2623,2200,423
"34005704013",1838,1809,29
"34005704015",1785,1297,488
"34005704016",1607,1464,143
"34005704201",2140,1708,432
"34005704202",1013,630,383
"34005704302",2322,2206,116
"34005704500",1697,1215,482
"34005704600",1239,601,638
"34005704700",1035,852,183
"34005704801",921,216,705
"34005981802",16,16,0
"34005982111",153,0,153
"34005982200",196,0,196
"34007600200",616,282,334
"34007600400",1058,330,728
"34007600700",444,254,190
"34007600800",1725,350,1375
"34007600900",1222,286,936
"34007601000",1671,993,678
"34007601101",849,333,516
"34007601102",1456,888,568
"34007601200",2000,997,1003
"34007601300",1665,737,928
"34007601400",1442,542,900
"34007601500",2300,522,1778
"34007601600",950,207,743
"34007601700",1122,178,944
"34007601800",368,257,111
"34007601900",990,412,578
"34007602000",2176,943,1233
"34007602503",826,647,179
"34007602601",987,834,153
"34007602602",1059,612,447
"34007602901",2000,1858,142
"34007602902",1192,802,390
"34007603001",1416,1194,222
"34007603002",1371,1122,249
"34007603100",1473,884,589
"34007603201",1781,1149,632
"34007603202",1294,624,670
"34007603301",2263,1648,615
"34007603302",2266,2038,228
"34007603303",1233,587,646
"34007603400",3107,2189,918
"34007603501",2433,1857,576
"34007603503",1608,1481,127
"34007603504",1051,1009,42
"34007603505",1350,1306,44
"34007603506",2112,1965,147
"34007603507",2931,2251,680
"34007603601",1785,1531,254
"34007603602",888,852,36
"34007603603",967,958,9
"34007603700",1581,1047,534
"34007603800",2354,2007,347
"34007603901",2173,1538,635
"34007603902",1885,714,1171
"34007604100",834,430,404
"34007604200",1530,810,720
"34007604300",1804,1186,618
"34007604400",1420,1138,282
"34007604600",1038,541,497
"34007604700",691,566,125
"34007605100",861,678,183
"34007605200",938,717,221
"34007605300",853,685,168
"34007605400",1133,695,438
"34007605602",1086,801,285
"34007605700",1293,968,325
"34007605800",1208,1068,140
"34007605900",1046,857,189
"34007606000",878,514,364
"34007606100",820,691,129
"34007606200",1478,1241,237
"34007606300",951,672,279
"34007606400",988,955,33
"34007606500",1146,780,366
"34007606600",1205,661,544
"34007606700",2172,1161,1011
"34007606800",1632,1347,285
"34007607000",1962,1016,946
"34007607100",1297,1186,111
"34007607200",1867,976,891
"34007607300",1784,1264,520
"34007607401",1157,834,323
"34007607402",1111,884,227
"34007607502",2257,2021,236
"34007607503",2183,1819,364
"34007607504",1188,1178,10
"34007607505",1415,1399,16
"34007607506",1419,602,817
"34007607507",3540,710,2830
"34007607600",782,711,71
"34007607701",2849,751,2098
"34007607702",2099,1003,1096
"34007607801",3198,833,2365
"34007607802",881,657,224
"34007607900",680,547,133
"34007608001",1390,830,560
"34007608202",1504,1004,500
"34007608205",1588,1310,278
"34007608206",1273,1199,74
"34007608209",1410,879,531
"34007608210",1681,482,1199
"34007608211",2319,1483,836
"34007608302",2168,1159,1009
"34007608303",1062,789,273
"34007608304",2899,2154,745
"34007608401",1212,1168,44
"34007608402",1342,1321,21
"34007608403",1981,1460,521
"34007608404",2565,2366,199
"34007608503",1152,473,679
"34007608504",1745,860,885
"34007608600",2268,1134,1134
"34007608700",2835,2247,588
"34007608800",2266,1527,739
"34007608901",2159,1702,457
"34007608903",1028,999,29
"34007608904",638,627,11
"34007609000",487,422,65
"34007609103",2215,1443,772
"34007609201",2018,1522,496
"34007609202",1811,1288,523
"34007609204",1282,817,465
"34007609205",2255,1706,549
"34007609206",1639,1424,215
"34007609207",1685,1583,102
"34007610300",1075,141,934
"34007610400",1243,423,820
"34007610500",2213,1644,569
"34007610600",743,65,678
"34007610800",1015,766,249
"34007610900",1493,699,794
"34007611000",2262,1022,1240
"34007611100",1240,613,627
"34007611200",1646,1273,373
"34007611300",1485,1090,395
"34007611400",1542,1389,153
"34007611500",1664,1496,168
"34007611600",2093,539,1554
"34007611700",1052,730,322
"34015500100",1910,1131,779
"34015500201",865,850,15
"34015500202",1802,1377,425
"34015500203",2145,1575,570
"34015500204",2683,1439,1244
"34015500205",1559,1131,428
"34015500300",1049,918,131
"34015500400",2467,1784,683
"34015500500",1958,1642,316
"34015500601",2838,2736,102
"34015500602",1278,1239,39
"34015500702",2135,1997,138
"34015500703",557,509,48
"34015500704",1279,1020,259
"34015500705",1682,1551,131
"34015500800",796,726,70
"34015500900",1106,1052,54
"34015501001",856,586,270
"34015501002",1600,785,815
"34015501003",1654,1360,294
"34015501101",1879,1129,750
"34015501102",2725,1630,1095
"34015501103",1766,1629,137
"34015501104",1028,865,163
"34015501105",1238,648,590
"34015501106",1458,1350,108
"34015501107",1659,1424,235
"34015501201",1851,1825,26
"34015501202",1567,1507,60
"34015501203",1394,1309,85
"34015501204",1310,1273,37
"34015501205",1351,850,501
"34015501206",1819,1082,737
"34015501208",1915,1710,205
"34015501209",2497,1676,821
"34015501210",1212,1198,14
"34015501212",1332,1140,192
"34015501213",1752,1337,415
"34015501301",1503,1164,339
"34015501302",1085,727,358
"34015501303",1082,731,351
"34015501402",1166,426,740
"34015501403",2087,1454,633
"34015501404",635,229,406
"34015501405",1631,1377,254
"34015501406",2002,1088,914
"34015501501",1409,977,432
"34015501502",1779,1367,412
"34015501603",2680,2199,481
"34015501604",2430,1974,456
"34015501605",1687,1483,204
"34015501606",2413,2159,254
"34015501608",2441,1937,504
"34015501609",1850,1531,319
"34015501701",1786,1689,97
"34015501702",995,840,155
"34015501703",1510,1330,180
"34015501704",1398,1168,230
"34015501800",637,594,43
"34015501900",1436,1324,112
"34015502001",2121,1909,212
"34015502002",2060,2005,55
"34015502100",1128,1060,68
"34015502201",944,910,34
"34015502202",1232,753,479
"34015502203",1139,872,267
"34015502204",708,676,32
"34015502300",909,597,312
"34015502400",2141,2101,40
"34033020100",594,514,80
"34033020200",618,286,332
"34033020300",986,199,787
"34033020400",1051,545,506
"34033020500",1337,975,362
"34033020600",1266,950,316
"34033020700",1439,1221,218
"34033020800",1523,964,559
"34033020900",1094,1000,94
"34033021000",437,278,159
"34033021101",1652,1467,185
"34033021102",1635,1264,371
"34033021201",1208,1046,162
"34033021202",1074,827,247
"34033021300",442,408,34
"34033021400",1406,1116,290
"34033021500",658,563,95
"34033021600",2159,1742,417
"34033021700",967,608,359
"34033021900",684,229,455
"34033022000",786,223,563
"34033022100",702,282,420
"34033022201",675,491,184
"34033022202",351,276,75
"24015030100",2132,1811,321
"24015030200",2254,1959,295
"24015030400",2047,750,1297
"24015030501",1441,1296,145
"24015030503",2212,1084,1128
"24015030505",1335,1039,296
"24015030507",1661,622,1039
"24015030508",1706,1270,436
"24015030601",1511,1390,121
"24015030602",2033,1342,691
"24015030700",1764,1618,146
"24015030903",2233,1266,967
"24015030904",3005,2828,177
"24015030905",934,851,83
"24015030907",1739,1229,510
"24015030908",2027,1724,303
"24015031201",2237,1949,288
"24015031202",1948,1355,593
"24015031301",1209,1132,77
"24015031302",2311,1645,666
"24015031400",1599,1400,199
"10003000200",2185,1496,689
"10003000300",1276,795,481
"10003000400",1503,666,837
"10003000500",1377,602,775
"10003000601",922,416,506
"10003000602",1167,407,760
"10003000900",938,328,610
"10003001100",2452,768,1684
"10003001200",1019,377,642
"10003001300",1843,1648,195
"10003001400",1013,548,465
"10003001500",1064,510,554
"10003001600",945,303,642
"10003001902",994,280,714
"10003002100",824,207,617
"10003002200",786,359,427
"10003002300",1045,402,643
"10003002400",2105,1067,1038
"10003002500",1551,1031,520
"10003002600",1556,591,965
"10003002700",1341,670,671
"10003002800",1388,230,1158
"10003002900",1690,408,1282
"10003003002",666,176,490
"10003010104",1756,492,1264
"10003010105",956,394,562
"10003010106",937,62,875
"10003010200",745,688,57
"10003010300",1631,1158,473
"10003010400",1915,1299,616
"10003010502",2624,1871,753
"10003010703",764,492,272
"10003010704",1954,984,970
"10003010800",1858,1355,503
"10003010900",1216,1207,9
"10003011000",1269,1234,35
"10003011100",1182,990,192
"10003011201",990,536,454
"10003011202",1536,1482,54
"10003011203",2099,1179,920
"10003011204",1367,1193,174
"10003011205",860,827,33
"10003011206",1544,1368,176
"10003011300",1050,804,246
"10003011400",1194,1056,138
"10003011500",1323,1188,135
"10003011600",1220,1010,210
"10003011700",1878,1795,83
"10003011800",2168,1197,971
"10003011900",1209,994,215
"10003012000",1614,1359,255
"10003012100",1298,746,552
"10003012200",1943,1183,760
"10003012300",1166,633,533
"10003012400",1601,1327,274
"10003012500",2160,1558,602
"10003012600",1161,976,185
"10003012700",1902,1403,499
"10003012900",1751,909,842
"10003013000",773,722,51
"10003013100",846,682,164
"10003013200",1174,665,509
"10003013300",764,707,57
"10003013400",999,849,150
"10003013501",2589,2314,275
"10003013505",1490,1110,380
"10003013506",1602,1577,25
"10003013507",597,569,28
"10003013508",2118,1992,126
"10003013604",1597,1331,266
"10003013607",2856,1918,938
"10003013608",832,530,302
"10003013610",2021,1540,481
"10003013611",2509,1507,1002
"10003013612",1952,1740,212
"10003013613",2282,1815,467
"10003013614",1186,772,414
"10003013615",1646,1333,313
"10003013700",1569,724,845
"10003013800",2639,1527,1112
"10003013901",1167,817,350
"10003013903",1663,1500,163
"10003013905",1532,596,936
"10003013906",1881,1141,740
"10003014000",1955,939,1016
"10003014100",1780,1139,641
"10003014200",716,560,156
"10003014301",539,524,15
"10003014302",996,810,186
"10003014402",1151,735,416
"10003014403",1414,592,822
"10003014404",1496,911,585
"10003014501",878,0,878
"10003014502",895,145,750
"10003014702",618,536,82
"10003014703",2148,1035,1113
"10003014705",2138,1361,777
"10003014706",1086,586,500
"10003014803",1692,1329,363
"10003014808",2319,1682,637
"10003014809",3114,2469,645
"10003014810",2560,1960,600
"10003014811",2401,2250,151
"10003014812",1582,1463,119
"10003014813",2333,1349,984
"10003014814",1488,1330,158
"10003014903",2908,1653,1255
"10003014904",2358,1205,1153
"10003014906",1999,908,1091
"10003014907",2104,1565,539
"10003014908",1295,348,947
"10003014909",2425,1216,1209
"10003015000",1841,1173,668
"10003015100",1416,1213,203
"10003015200",2301,1661,640
"10003015400",1112,847,265
"10003015502",959,701,258
"10003015600",738,574,164
"10003015802",737,678,59
"10003015900",1232,1090,142
"10003016000",945,662,283
"10003016100",1089,791,298
"10003016200",1381,653,728
"10003016301",2774,2022,752
"10003016306",1677,1338,339
"10003016307",942,942,0
"10003016308",1598,761,837
"10003016309",1593,905,688
"10003016401",2216,2077,139
"10003016404",1108,847,261
"10003016608",2372,2259,113
"10003016609",1558,1534,24
"10003016610",3145,1909,1236
"10003016611",2796,2581,215
"10003016612",2515,2451,64
"10003016613",1841,1178,663
"10003016614",2176,1835,341
"10003016805",588,489,99
"10003016806",1665,1567,98
"10003016807",480,458,22
"10003016808",2218,2106,112
"10003016901",743,703,40
"10003016904",518,428,90
